Date,Acc Code,Je Source,Category,Journal Name,Gl Doc Num,Description,GL Line Description,GL Line Num,Party/Customer Name,Reference Number,Sub Doc Num,Sub Ledger Description,Accounted Dr,Accounted Cr
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075796 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165797,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,100
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075802 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165826,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,2760
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075810 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165832,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,550
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075815 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165816,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,1850
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075835 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165884,Journal Import 2599930:,/EFT/RECEIPT,2,,,,,0,600
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075837 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165798,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,100
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075839 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165817,Journal Import 2591614:,/CARD/RECEIPT,2,,,,,0,21800
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075841 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165814,Journal Import 2591614:,/CARD/RECEIPT,2,,,,,0,1000
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075843 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165835,Journal Import 2591614:,/CARD/RECEIPT,2,,,,,0,650
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075865 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165834,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,2300
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075872 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165810,Journal Import 2591614:,/CARD/RECEIPT,2,,,,,0,50
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075873 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165827,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,500
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075890 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165818,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,1850
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075895 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165819,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,1850
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075905 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165824,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,1850
01-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075925 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165799,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,100
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075945 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165945,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,100
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075959 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166303,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,450
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075978 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166376,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,100
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075988 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166240,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,3710
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075995 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166210,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,550
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3075999 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166290,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,1550
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076001 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166378,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,100
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076014 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166379,Journal Import 2591614:,/CARD/RECEIPT,2,,,,,0,100
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076016 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166304,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,450
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076022 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166220,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,2475
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076031 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166292,Journal Import 2591614:,/CARD/RECEIPT,2,,,,,0,1700
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076033 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166218,Journal Import 2591614:,/CARD/RECEIPT,2,,,,,0,650
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076035 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166333,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,6130
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076041 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166318,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,3500
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076043 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166328,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,4550
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076060 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166300,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,2600
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076064 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166315,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,2880
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076133 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166273,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,10212
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076152 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166316,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,3000
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076153 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166302,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,430
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076172 HIS_COLLECTION 3358005YT7JQCWYLTG43,500165880,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,1200
